Name,Rating,Summary,Verified,Review
Andy J. Harrelson,4.0 out of 5 stars,Smaller than I thought,Verified Purchase,It was smaller than I thought it was going to be. It does put out great heat and is lightweight. I just wish it was a little taller to better heat a person standing because it only comes up to around knees and I was wanting one maybe to come up to around hips. But its not a bad heater for the price.
summoh,3.0 out of 5 stars,Bad design and assembly,Verified Purchase,Didn’t assemble properly. Upper half and lower half didn’t line up. Low quality plastic construction.
C. KC,5.0 out of 5 stars,Doing the job,Verified Purchase,"It’s very lightweight, smaller and not as ‘substantial’ as expected for the price...however, it certainly kicks out the heat and is warming up our very cold office.  My husband said it’s perfect."
Chris Scott,5.0 out of 5 stars,Just received it,Verified Purchase,"First impression is that it's a simple compact heater that looks pretty nice astatically. Simple controls and the heat output for my situation is outstanding, I'm using it in an office setting almost directly behind me about 3 feet and can easily feel the heat coming in to my space. Auto thermostat seems like it works well initially time will tell.Overall I am liking it for what I need. We'll see about working longevity I suppose."
Doug C. 718,2.0 out of 5 stars,Stopped working no replies to emails,Verified Purchase,"Stopped working after a few days, sent several emails  no reply, very dissatisfied."
Ty Steele,4.0 out of 5 stars,"Almost perfect, excellent otherwise",Verified Purchase,Puts out good heatVery quietThe thermostat auto temp detection doesn’t work at all.
Christine E. Scott,4.0 out of 5 stars,Impressed!,Verified Purchase,Very quiet. For a second I didn't think it was working. Lots of heat! Good feature controls
Julia,5.0 out of 5 stars,This works extremely well and is safe to use.,Verified Purchase,"This is a great heater.  It looks good, it’s safe, and it REALLY heats."
Marlene Arcolesse,5.0 out of 5 stars,Wonderful fan,Verified Purchase,Works great moving the air aroundQuiet operation
Hunterview,5.0 out of 5 stars,Great heater,Verified Purchase,We bought this little heater to help keep our bedroom warm while our baby is sleeping in there with us. It works great and I love that it doesn’t take up much space!
secbnc,5.0 out of 5 stars,Small size with a big punch,Verified Purchase,Great little heater that produces tons of heat. Quiet.Only improvement that could be made is wish it osillated more than 45 degrees.Highly recommend!
Siu-Mui Ng,4.0 out of 5 stars,Keep User Manual About the Heater,Verified Purchase,"I like that it provides fast heat quickly once turn on to high heat. I also like that I can select the amount of heat I want and the oscillating function is a plus. However, I don't like the carry handle. It's not deep in enough; it is a little difficult to get a good grip. I like the newer model's carry handle. Overall, I like this heater except the carry handle."
Byron Grace,5.0 out of 5 stars,it really works,Verified Purchase,I like that it light and easy to move around. My office gets quite cold in low tempertures so with the trustech ptc heater it warms my whole office which is about 15x20. I like that i can ajust the heater with one control and let it do its job.
Michelle,5.0 out of 5 stars,No thermostat,Verified Purchase,It did not shut on and off with the thermostat like I thought it would
lynda,1.0 out of 5 stars,Not worth the money and very un stable,Verified Purchase,Tried putting this fan together and did not even get past the connecting to the  base it just would not snap togeIther and of course its plastic so I was afraid it would snap if I forced it. Even the bottom part that was on the chasis was very unstable.  Surely this item was not worth  the money $100.00
Charles Shepard,1.0 out of 5 stars,Very small heater,Verified Purchase,This heater is adequate for a very small room. Maybe a small bathroom
Jasmine Q,5.0 out of 5 stars,Definitely put out the heat!,Verified Purchase,I bought 2 of these for my kitchen and dining area. I have tile floors and it is cold in the winter time. I plugged them both in on opposites sides and just about made a sauna! HAHA!! I only use one now. These heaters pack a punch! Super happy with my purchase. :)
Orchid Goddess,5.0 out of 5 stars,Heats good size rooms,Verified Purchase,Excellent and powerful for a small unit. Not too hot just right.
Jessie Ratulowski,5.0 out of 5 stars,Great Product for Price,Verified Purchase,"This heater is a life saver! We don't have a very well insulated master bedroom and run it constantly to keep it at decent temp. Its never overheated, its super light weight, multiple levels of heat, fall over protection works great! We have pets and kids that knock it over daily. Overall great product."
jenny smith,4.0 out of 5 stars,"Nice, easy to use",Verified Purchase,Nice quiet heater just wish it would put out a little more heat.
michael l. fitzhenry,4.0 out of 5 stars,The heater works great.,Verified Purchase,"The heater works excellent ,and it will heated room within 10 minutes ,the problem is if you use it too many times don’t expect your electricity bill to be low."
James E. Davison,2.0 out of 5 stars,Nice compact unit !,Verified Purchase,Have to rectify the problem with a nonworking on off pilot light
FCT,5.0 out of 5 stars,Excellent Product!,Verified Purchase,We have an office at our business that never seems to be as warm as our customer lobby.  This heater did the trick!  It heats the space very quickly.  It is an excellent value and was just what we needed...in a nice compact design that was just the right size!
Erick Hall,5.0 out of 5 stars,Highly Recommended,Verified Purchase,"It works perfectly, is ideally sized and easy to place in any room and space."
Kellz,1.0 out of 5 stars,Unhappy ☹️,Verified Purchase,"Very unhappy with this product, the description and the quality was not as described. Not satisfied at all with this product "
Ajax,5.0 out of 5 stars,Great for heating a small space,Verified Purchase,The ocsillating movement really makes this a good device.
Christina E. Daltro,5.0 out of 5 stars,Trusted Space Heater for Office,Verified Purchase,It was exactly what I expected. Arrived on time and working good. Thank you!I'd like to receive the Zippo Hand Warmer as the gift offered.
Jessica L.,4.0 out of 5 stars,"Good, safe purchase",Verified Purchase,Works great!!! Perfect for small/medium areas. Sensitive to tipping and turns off immediately! The outside doesn’t get too hot. Worth the $60.
David R.,5.0 out of 5 stars,Does the job as advertised.,Verified Purchase,"Just got the little guy and it works at heating up the bedroom faster than my portable radiator and without the stink.  The noise from the oscillation is mellow and sleep inducing, so that's not an issue.  The tip over protection works, it stopped when I jostled it accidentally then started right up again when straightened.  It does the job as advertised."
sandra minckler,4.0 out of 5 stars,heat is marginal,Verified Purchase,"did not heat as expected........bought for extra heat in my workshop,"
Jacque T.,5.0 out of 5 stars,Buy it,Verified Purchase,"Exceeded my expectations, heats up my sons bedroom within minutes. Auto off if lifted up or toppled over"
Big Jimmy,5.0 out of 5 stars,Great portable heater for a room.,Verified Purchase,More compact than illustrated which is good. Quiet operation
Samuel,1.0 out of 5 stars,Can't use it. Keeps blowing fuse.,Verified Purchase,"Don't know if it's good or not. Can't keep it on longer than a couple minutes without the power going out in half my house. I tried various plugs around the house, and same situation. Don't know why one thing would do that, but it's unusable."
Real review,1.0 out of 5 stars,Fan fails,Verified Purchase,"Less than 30 days and fan went out.  Luckily, there is a return beyond 30 days on this item.  Go with a name brand instead."
lisa ulissi,1.0 out of 5 stars,Stopped working!!!,Verified Purchase,This space heater was not cheap and it stopped working after using it a limited number of times. It was functional for less then 2 1/2 months and I only ran it approx. 10 minutes a day. What a rip off!!!
Hermit Kona,2.0 out of 5 stars,"Thermostat not working, returned",Verified Purchase,"I need thermostat to control temperature. Looked at other reviews, found this is a pretty common problem. So returned."
john hornsby,5.0 out of 5 stars,Product works well good heat,Verified Purchase,Product works well good heat
Harrison,5.0 out of 5 stars,Works great!,Verified Purchase,"Product was a little smaller than I expected however it works fantastic! Heats up near instantaneously and keeps my whole bedroom warm. It is also very quiet for its efficiency, Would definitely recommend!"
Lily,4.0 out of 5 stars,Uses too much power for my apartment. Breakers flip.,Verified Purchase,The breakers flip when I use it. So can no longer use it.
Mohammed Ahmed,5.0 out of 5 stars,This is very light weight and easy to move around,Verified Purchase,This is very light weight and easy to move around. I like it the way it work. Even a small touch stop the heater which shows how safety it is for kids. Especially my kid keep trying to touch that and thats stops which is really helpful otherwise it will be a mess.  Thanks
Kathryn Hennessy,4.0 out of 5 stars,Highly effective for small spaces.,Verified Purchase,This product is working fine in a drafty space in my bedroom. An added plus is it's quiet.
Rosie,2.0 out of 5 stars,Not what I thought,Verified Purchase,Looking for cooling fan. Was returned.
Amazon Customer,5.0 out of 5 stars,Great fan works great!,Verified Purchase,I really like it a lot
Han,5.0 out of 5 stars,Powerful little heater!,Verified Purchase,"The first thing that I noticed after turning it on is how quiet it is, I even went to double-check that it is on. It heats up our living room fairly quick, considering its small size. At this price point, it's totally worth the price!"
docsizzle,3.0 out of 5 stars,Not cold air,Verified Purchase,"Air is not cold or cool. Weak air breeze strength. Not quiet when in quiet mode, imo."
Trail Cam User,5.0 out of 5 stars,Easy to Use and Effective,Verified Purchase,"We recently purchased a Space Heater for Office - Electric Ceramic Portable Oscillating Space Tower Heater Fan w/Thermostat.  We have used it a few times and my wife loves it.  We plan on using it on our deck this Fall and then once the winter turns too cold, we'll set it in our spare bedroom for our guests to use.  Thanks....Great product."
K. Trupp,5.0 out of 5 stars,Works Well,Verified Purchase,Puts out an amazing amount of heat for its  compact size.  Perfect for my guestroom where it's the only source of heat.
Fred,1.0 out of 5 stars,Bad experience,Verified Purchase,"Did not work.  From the packing, it had obviously been returned before.  The worst part — this was sent as a gift."
Michael,5.0 out of 5 stars,Good output,Verified Purchase,It has some settings on the dial that are confusing and you also have to turn the oscillating feature on/off separately from the heat settings. Other than that great heater with good output for the size.
Eric,5.0 out of 5 stars,Great space heater!,Verified Purchase,Disperses heat very nicely! I really like the thermostat feature (other space heaters pump out heat until they melt their own plastic).  I have it next to my desk in my drafty poorly insulated back room and it makes my gaming time nice and cozy!
sharee m.,1.0 out of 5 stars,Not a great buy,Verified Purchase,Very small and does not heat my large living room. It's also very short.
Jason,5.0 out of 5 stars,efficient heating,Verified Purchase,"in the past, I have bought many space heaters. it not only broke after using continuously but it also used all my powers and had a constant blackout. However, this heater has various settings that allowed me to conserve energy yet heated my room pretty well with the low setting. I recommend anyone who wants to heat up their room quickly and conserve energy!"
Kristen,2.0 out of 5 stars,Works well—for a year,Verified Purchase,"Died after a year. Bought Dec 2019. Put away for the warm weather, then brought out again last October. January 12 it just stopped working. The rotation part still works but the heat function is just dead."
Chestout Corey,5.0 out of 5 stars,Great office heater,Verified Purchase,Great office heater. I placed It in the corner of my office and everyone feels it when they walk in.  I like it. I wish I would have gotten one that was a little taller. This one does a great job of providing heat to my legs and feet. But in the future I will get one with the same power but taller.
Julius Annan,1.0 out of 5 stars,worked for 5 months and then broke. not worth it,Verified Purchase,"the Product worked for ""one year"" and suddenly stopped working.It was used for 3 months last winter and then 2 months so far this winter.would not recommend this to anyone"
J Braby 2020,5.0 out of 5 stars,Amazing heat for a small profile heater,Verified Purchase,"When the heater arrived it was smaller than I thought it might be, but it certainly does the job.  It heats up within seconds, and the three different heating options are a plus.  Overall recommended and very worth the price."
xiaojin Huang,1.0 out of 5 stars,Broken after a month and half use,Verified Purchase,The heater is broken right after the return period. Don’t buy it.
Chris,5.0 out of 5 stars,Very satisfied with this purchase,Verified Purchase,"Centralized heating, one person uses power saving 2, compared with oil Ting, European heater, this can be put under the desk, so that the lower limbs will be very warm, can not wear cotton towing 3, good-looking, the switch is convenient at the top,"
fred,5.0 out of 5 stars,Safe and Efficent,Verified Purchase,"Very safe and well built unit. Kinda of a strange design, but it works. Good air flow. Recommend."
Evelyn,1.0 out of 5 stars,Poor quality,Verified Purchase,"Did not last a month, heat works but the fan died so it just ends up burning the element."
Christy Perando,5.0 out of 5 stars,Great heater!,Verified Purchase,This is an awesome heater.  It pumps out a lot of heat for the size of the unit and has great safety features.  We use space heaters in the winter as it gets very cold here and we don't want to pay a $600 electrical bill.  This unit warms whatever room it's in very quickly.  Will be getting another!
Brittany LaPour,5.0 out of 5 stars,Awesome!,Verified Purchase,Ever since buying mine it started making noise when it turns which is kind of annoying but I’m good at blocking it out. Other than that great item.
Guitars rcool,2.0 out of 5 stars,Doesn't put out much heat,Verified Purchase,It doesn't put out much heat. Smaller than what is shown in the picture.
Luis,5.0 out of 5 stars,Great space heater,Verified Purchase,"I bought this to warm up my legs while working at my desk, and it does it wonderfully. You can feel the heat instantly, and it is very quiet.It would be nicer if it had a remote control or at least a timer so I don't have to get up once it is getting too hot, but overall the product does its job, and it does it well."
Cisek,5.0 out of 5 stars,Great little heater.,Verified Purchase,Great heater for the money. Definitely heats up a decent sized room. Would recommend for anyone that’s looking for a small heater for a bedroom or office.
Jacob,4.0 out of 5 stars,good heater for the price,Verified Purchase,Works good but DO NOT BUY if you have kids around as the front great will burn them.
Holly G. Davis,1.0 out of 5 stars,Would not recommend it,Verified Purchase,No easy way to pick it up and move it with one hand. Top heavy. Big disappointment
alex deherrera,4.0 out of 5 stars,Great Heater,Verified Purchase,This heater works very well & has low noise. Heats up the basement  for being a small device. Instructions are very simple. Only downside of it would be that the dial does not turn on the heater until it is half way up the thermostat. It also trips the fuse when there are too many outlets being used in the same room. Otherwise it's a great heater.
Gray Sky,5.0 out of 5 stars,But this one instead of the other.,Verified Purchase,"Awesome item, it heats up really quickly, probably the best one in the same category"
Amazon Customer,5.0 out of 5 stars,Keeps Me Warm,Verified Purchase,"Perfect for my bedroom so I do not need to heat the entire house. Keeps us warm in a large master. Sometimes, it can get too hot. It does seem to stay on when plugged in. However most fans and similars do the same. Probably a way to adjust with the settings or by reading the manual."
Kevin,5.0 out of 5 stars,"Great value, solid option.",Verified Purchase,"The heater is lightweight and easily transportable. The safety shutoff works best on solid surfaces and is an added benefit to those concerned about tipping or the unit falling and igniting. The unit quickly heats up a medium sized room, but should not be used to heat anything mush larger. The unit is quiet and has a sleek build. No complaints."
Sandra J. Flinchum,5.0 out of 5 stars,Super quiet,Verified Purchase,I love how quiet the fan really is. no need to turn up the television because you got a fan running on high with this fan. Super super quiet A++
MARTY,5.0 out of 5 stars,Yay. Go heater!,Verified Purchase,This heater is very quiet. And it has a low enough voltage that I was able to plug it into my extension cord under my desk without tripping a breaker
Healthy Running Mom,5.0 out of 5 stars,Heats up quickly,Verified Purchase,"I've ordered 2 different space heaters trying to find the right one & this is it!  it is easy  & heats up quickly.  It's also very sensitive & has an auto shut off if it tips.  so, there's no reason to worry about danger."
Ludy Moreno,5.0 out of 5 stars,Exactly what I was looking for at a great price so I got two,Verified Purchase,I have one in my cold basement and one in my office. I like that when bumped it shuts itself off. I would recommend.
Nick C.,5.0 out of 5 stars,value for money,Verified Purchase,"This heater is really quiet, and has auto shutoff when it gets to a certain temperature that you can. It has also a cooling fan that works perfectly. It is also safe and portable. I am happy with this purchase"
Debbie Digiovanna,5.0 out of 5 stars,Small & powerful,Verified Purchase,Love size  Heat output @ safety features
Linda,5.0 out of 5 stars,Good heater for the $$$,Verified Purchase,Portable and easy to use with its safety tip over feature. Heats a 11 x 12 rom very well.
Amazon Customer,5.0 out of 5 stars,Portable heater,Verified Purchase,My office is always chilly in the morning and this heater is perfect for warming it up fast.
Elmer E. Bost,5.0 out of 5 stars,Recommend it,Verified Purchase,Exactly what I needed.
George Zuefle,5.0 out of 5 stars,Nice little heater,Verified Purchase,"It is a nice little personal heater.  It does not heat the room, although the room is small.  But it heats me very well while I use my computer"
Kt Hill,5.0 out of 5 stars,Excellent Heater,Verified Purchase,"This heater is great for my daughter’s room that is always cold in the winter. The amount of heat it puts out is impressive for its small, lightweight size. I don’t worry about it falling over and starting a fire either as it automatically quits when tipped over. Great product for a great cost!"
Amazon Customer,5.0 out of 5 stars,great,Verified Purchase,plug in an go good an warm
ariel wilson,5.0 out of 5 stars,Packs a punch,Verified Purchase,"Just started using this heater and its all ready far better than the one I have been using from target. It warmed my room up quickly, and although it's not silent, its really quiet. Really happy with the purchase!"
Jose Ramirez,5.0 out of 5 stars,Toasty,Verified Purchase,I used this heater outdoors and kept me very warm in the cold
Amazon Customer,5.0 out of 5 stars,Worth the money,Verified Purchase,"It is just as advertised, it adequately heats a medium room very well, very pleased with this purchase!"
Susan Y.,5.0 out of 5 stars,Easy to Use,Verified Purchase,Bathroom
Micro Pickson,5.0 out of 5 stars,Easy to use,Verified Purchase,"It is easy to switch between different modes. It offers a fan, and two different temperature for warming. It works well and can provide heat for a small bedroom. I will update this comment after it has been working for a while."
Vance Booker,4.0 out of 5 stars,Its better than it looks,Verified Purchase,"When this heater came I was disappointed in the heating opening, however, it delivers as muchor more than the other quartz heater we have used. The oscillation is a positive feature."
Abby A,4.0 out of 5 stars,Does what it says,Verified Purchase,Does what it says.Going to order 2 morePerfect for shop bathroom
Julie,5.0 out of 5 stars,Good lightweight heater,Verified Purchase,Very good product. It's quiet and heats up really quickly!
Erica Holm,2.0 out of 5 stars,Not up to par,Verified Purchase,Didn’t put out that much heat really. Was disappointed
Anna,5.0 out of 5 stars,A very good product!,Verified Purchase," Warms up the space around it very quickly and doesn’t take a lot of space. I haven’t heard any plastic smell yet, which is extremely important. Good product!"
Amazon Customer,5.0 out of 5 stars,Great Buy,Verified Purchase,We bought this little guy to heat a newly renovated basement room. I was curious to see how well it would work since it was so small but it heated the room up in a matter of minutes. It small form factor is great. It’s heat out put is amazing and the adjustable thermostat work fantastic.
BRANDON,5.0 out of 5 stars,Looks good in any modern room,Verified Purchase,Great fan
Ltcbpla,5.0 out of 5 stars,Exactly what I was looking for !! Love it !!,Verified Purchase,"This heater is the perfect size for what I need. It gives off good heat & being able to control the temp is great. I love the oscillating factor. Not too much, just enough. I am very satisfied & would recommend it."
Amazon Customer,4.0 out of 5 stars,Good heater,Verified Purchase,Hard to find perfect temp setting. Safety feature super sensitive.
Gabi,5.0 out of 5 stars,Simple and effective heat,Verified Purchase,"I was very skeptic when the heater arrived due to it's light weight as I was used to ceramic heaters. It turns out to be perfect for my 12x12 unheated back porch. Simple dial turn, gives heat immediately with quiet fan blower and turns off when comfort level has reached. It's perfect!"
Ray Rami,5.0 out of 5 stars,Heats Quickly and safe around kids!,Verified Purchase,"I actually really like this product, it shuts off when tipped or picked. And it's heated a  very large storage area in 30 minutes. Great product!"
Mike miller,5.0 out of 5 stars,Great fan,Verified Purchase,I really like the different noise level modes especially the sleep mode. It fits in almost any space and works great.
havva,5.0 out of 5 stars,great little heater,Verified Purchase,It is a great heater for the price. Most important thing is the auto thermostat. It is just turn on and off depends on the settings. The only negative thing is that it does not work on carpet.
Kevin,2.0 out of 5 stars,Could be quieter.,Verified Purchase,Not very quiet in medium and high speeds.
Kyle Kindy,2.0 out of 5 stars,Not worth the money,Verified Purchase,It is quiet…because it doesn’t blow enough air to cool a room…unless that room is a closet.
Daphne Scott,5.0 out of 5 stars,WORKS GREAT,Verified Purchase,PERFECT FOR THE OFFICE
Aimee,5.0 out of 5 stars,Just what was needed,Verified Purchase,It heats the large room in my basement that we turned into a bedroom for our adult child perfectly and safely.
Alexander Hardin,1.0 out of 5 stars,I was sent the wrong product and the one that I was sent is defective,Verified Purchase,"As you can see in the photo that I had to duct tape the safety switch down in order for the heater to work, such a waste of money. Don't buy this product."
Amazon Customer,5.0 out of 5 stars,Great product,Verified Purchase,"Love the heater, heats better than i imagined. Small heater big heat output. Wonderful for keeping my camper warm on cold nights. Would definitely buy another one."
Felix,5.0 out of 5 stars,Great heater!,Verified Purchase,Not overly large and packs a punch. Was able to heat up a pretty sizable living room and kitchen area with this heater within half an hour.
william bouman,5.0 out of 5 stars,Nice safety features as well.,Verified Purchase,Works great heats a 12x12 room nicely..
Monica M. Pietrowski,4.0 out of 5 stars,This heater is really quiet,Verified Purchase,I am very  happy with this tower heater...it can be stationary or have it oscillate.  and there is a large range of temperature for heat
Cody,1.0 out of 5 stars,DO NOT BUY,Verified Purchase,"The unit turns off after one minute and never turns back on, would never repurchase or recommend this product for anyone"
David s,3.0 out of 5 stars,Heater,Verified Purchase,It was ok until my utility bill went sky hi other wise good heat but it use a lot of electricity.
Taylor Rhea,5.0 out of 5 stars,Great quality!,Verified Purchase,"Quiet, puts out plenty of heat which you can adjust! Perfect for the bedroom!"
DEAHYEON YU,5.0 out of 5 stars,I used it today and it works great !,Verified Purchase,first day of using this and I like it
Mom9504,5.0 out of 5 stars,Great seller!,Verified Purchase,Perfect for my cold room.
Gaye Adams,3.0 out of 5 stars,Would NOT recommend!,Verified Purchase,"There is no temperature control. It either runs constantly, or if you turn the dial just a little to much back, it doesn’t blow air at all!"
Emmanuel Mahlis,4.0 out of 5 stars,Works as advertised,Verified Purchase,"Bought the heater to replace a Lasko one that burned my outlet.  The Trustech is lighter and smaller than the Lasko, but seems to work as advertised so far.  It's still new (have had it for only one week), but it warms the room nicely."
Jonathan,2.0 out of 5 stars,It is not worth the money,Verified Purchase,"It is super loud, cheap design. This is the second time I bought the heater from this brand. Would not recommend it."
Karlie,4.0 out of 5 stars,Nice Heater!,Verified Purchase,"Have had stronger space heaters, but it's nice for the money! It can occelate which is really nice."
Anna,1.0 out of 5 stars,Defective out of the Box,Verified Purchase,"Defective out of the box, wouldn't even turn on."
Liane S.,3.0 out of 5 stars,Too expensive,Verified Purchase,Overall good product
deborah abadie,1.0 out of 5 stars,Not worth it,Verified Purchase,Don’t waste your money. It worked for 2 weeks and then was completely inoperable.
LUIS FRANCO,1.0 out of 5 stars,Poor fan,Verified Purchase,It's very weak noise level is moderate not great I returned it. Chinese product.
Amazon Customer,1.0 out of 5 stars,Not Reliable,Verified Purchase,Stopped working after 3 months. Don't waste your money.
Brooke peterson,5.0 out of 5 stars,Great fan!,Verified Purchase,Amazing product! I love the timer option and how quite it is. Very satisfied with this fan!
Abbigayle,4.0 out of 5 stars,nice and toasty,Verified Purchase,"i do like it a lot! it warms me right up. i just wish they had a super low setting for when it gets too hot. but honestly, its perfect besides that! thank you"
Kyle Repaskey,4.0 out of 5 stars,Low Profile and Quiet,Verified Purchase,This product is quiet and generates heat rather quickly.  Definitely recommend.
BF,5.0 out of 5 stars,Great Product!,Verified Purchase,We needed a large enough space heater to heat up our break room when I came across this gem. It heats up the room quickly and the tip over feature is genius! Thumbs up :-)
Katie Kuo,5.0 out of 5 stars,Perfect for cold Colorado winters,Verified Purchase,"Have a newborn and its been perfect in keeping our bedroom apartment the perfect temperature for us. Its quiet, doesn't smell, and the design looks and feels pleasant to use."
Chloe,5.0 out of 5 stars,High Quality,Verified Purchase,"Excellent product! Love this heater it helps survive the winter. High quality, the office become warm quite soon.  It is also very quiet while working. Highly recommend!"
Glen Aaron Kelly,4.0 out of 5 stars,Great little heater,Verified Purchase,Great little heater.  Puts out quite a bit of heat and is easy to use.  I thought it was going to be bigger size wise and like it if the oscillating feature stopped when you turned the unit off.
Ryan,1.0 out of 5 stars,VERY FUNCTIONAL HEATER,Verified Purchase,I am updating my review because I have only had this heater for a year and it literally just caught on fire in my office.
Yosif,5.0 out of 5 stars,Worth every penny!,Verified Purchase,I am extremely satisfied with this product! It exceeded my expectations! Thank you!
Neil Payne,4.0 out of 5 stars,works great,Verified Purchase,"easy to use and heats up fast, great safety features that work"
Mengwei,5.0 out of 5 stars,"rotary switch, three modes, hot enough",Verified Purchase,"It is super easy to use. There is a rotary switch. There is a low power heater, and a high power heater, and a cooling fan. Very convenient and useful. It is enough to use the low power this time in Boston."
Christopher L.,5.0 out of 5 stars,Good,Verified Purchase,Good product
Rubin,1.0 out of 5 stars,Doesn’t stay on when you need it to I hate it wish I never bought it,Verified Purchase,Not happy with it at all
Tony u,5.0 out of 5 stars,Perfect Garage Heater,Verified Purchase,Great heater it really warms my garage work area with ease. I’m so glad I found this product I would suggest to anyone to purchase.
Andres Ceballos,5.0 out of 5 stars,Safe and reliable,Verified Purchase,"I really like this heater, they are safe and work perfectly.Most likely I am buying one or two more."
Shari Flowers,5.0 out of 5 stars,Hester works wonderfully!,Verified Purchase,This heater works wonderfully! I purchased two and I am very pleased with the purchase. They heat quickly and efficiently and the oscillating feature distributes the heat through the space.
OFallon School  District 90,5.0 out of 5 stars,Great value! Perfect for office setting.,Verified Purchase,Our conference room doubles as our lunch room and it is always chilly.This heater makes it nice and cozy and hard to go back to work aftera relaxing lunch.Thanks Trust Tech
Myers,5.0 out of 5 stars,Space Heater on Roids,Verified Purchase,Heats our master bedroom nicely.
David Alexander,1.0 out of 5 stars,features as advertised,Verified Purchase,small compact yet good heat output
Dipak Sarkar,5.0 out of 5 stars,Works well. Easy to use.,Verified Purchase,Would have liked to have thermostat calibrated to control room temperature.
Carlos Marulanda,5.0 out of 5 stars,Excellent purchase,Verified Purchase,To heat my room due to damage to the heating in my house
Melissa Livanos,5.0 out of 5 stars,Warm and compact,Verified Purchase,"I used the product for my drafty condo and it does work well and I like the size.  The amount of heat put out could be a bit more, but overall I do like it."
nicole,5.0 out of 5 stars,Lightweight and quiet,Verified Purchase,Lightweight and quiet
Sergio Hernandez,5.0 out of 5 stars,Awesome product,Verified Purchase,"This product is awesome, works really fast and is the perfect size for an office or a small room."
Drlarryg,5.0 out of 5 stars,Perfect heater for small (10 x 14) home office,Verified Purchase,Great heater for small home office in my basement
Abdullah Mamun,1.0 out of 5 stars,Very bad item,Verified Purchase,Please do not buy it .it does not work properly.smell bad.
Peggy Bowden,5.0 out of 5 stars,Works Great,Verified Purchase,We work in a shop environment so it gets pretty cold around here. We have one of these heaters at each station. Works great and keeps the employees warm. Would buy again
Hub B.,5.0 out of 5 stars,This heater is strong!,Verified Purchase,The TrustTech portable heater works great. I especially like the oscillating feature. It is lightweight to carry but a heavyweight on performance. It heated my office in no time!
Kiki,5.0 out of 5 stars,Great Product!,Verified Purchase,I loved this space eater. It is small but very powerful! Definitely worth the money! Thanks!
Amazon Customer,5.0 out of 5 stars,Great value,Verified Purchase,"This heater is awesome, I use it to heat a 350 square foot space & it gets toasty."
Dan lee Chalom Mampassi,5.0 out of 5 stars,I appreciate the quality and also its design.,Verified Purchase,I like this product because apart from today I won’t freeze myself again as it was before. So I can warm my body when it gets cold and also use it during summer as well.
Stefan N.,4.0 out of 5 stars,"Heats well, pretty quiet, unlabeled temperature gauge",Verified Purchase,Heats up a medium sized room in a matter of minutes and it's not too loud (think laptop fans on medium-high). Temperature gauge could use some actual numbers on it.
Jose A  Centeno-Cancel,1.0 out of 5 stars,It does not warm up as stated.,Verified Purchase,They state the heater warms up a small room or just sitting in front of it I have a cheaper heater that heats better than it.
Raymond Shugarts,5.0 out of 5 stars,Satisfying Portable Heater,Verified Purchase,Seems to be working well as advertised. It is heating a rather large  living area.
Jennifer Carmichael,1.0 out of 5 stars,Broken after 3 months,Verified Purchase,It’s been only 3 months and it’s broken! What a complete waste of money!
Purvesh p.,5.0 out of 5 stars,Awesome,Verified Purchase,We really like that productIs very nice for the little family to warm yourself  I give 5 stars  Very nice
Kristy McBroom,5.0 out of 5 stars,Tower power!!,Verified Purchase,"Just arrived today, and love it so far. Perfect size and lots of heat."
David Deleo,1.0 out of 5 stars,BS,Verified Purchase,Started smoking after a month and only used it a few time
Ken Gretz,5.0 out of 5 stars,Great heater!,Verified Purchase,"Heater puts out great heat, and overall seems fairly well made, but the oscillating switch should be on the top of the unit."
patrick helm,5.0 out of 5 stars,very good heat output,Verified Purchase,"I use my heater in the bathroom to supplement the regular heat, it is the same size as my old heater but puts out a lot more heat."
Samantha Anderson,5.0 out of 5 stars,Its very quiet,Verified Purchase,Love how quiet it is doesnt rake up a lot of room i use in the room my chameleon is in to keep the room temperature up it works very great
Nikki,5.0 out of 5 stars,AWESOME,Verified Purchase,The product itself is the greatest in everything it does
Alex Hoang N Phung,4.0 out of 5 stars,work great,Verified Purchase,so far we like during the wintertime and convenient for the need now
chris ,4.0 out of 5 stars,great heater,Verified Purchase,"my wife uses in her home office,she loves it,i plan to use in our rv"
Jacob,5.0 out of 5 stars,Heats up my bedroom,Verified Purchase,Good product
Mark Rose,5.0 out of 5 stars,Good little heater,Verified Purchase,Quiet and small heater that heats up quickly. Nice oscillating feature if you need to have the heater rotate.
Shannon,5.0 out of 5 stars,Great deal,Verified Purchase,This heater is amazing we use it upstairs cause there ain’t no heat. It warms it super fast.
Chicadelrey,5.0 out of 5 stars,Worth it!,Verified Purchase,My friend who I gifted it for was happy.
SOUTHWEST MICHIGAN DERM,5.0 out of 5 stars,Love!,Verified Purchase,This is just what i needed to help warm up my section of a large office.  It does the job oh so well!
Customer ,5.0 out of 5 stars,Good heater,Verified Purchase,Great heater. Lightweight and easy to use. No problems. Heats a room up very well.
S. T. Spriggs,5.0 out of 5 stars,"Compact, puts out the heat!",Verified Purchase,"Compact size. Good heat output , oscillating feature helps disperse heat efficiently. Fairly quiet."
Sergeant,5.0 out of 5 stars,Quiet and fast heating,Verified Purchase,Excellent heater! It heats up the room quickly and it is extremely quiet. The  feature is great. I highly recommend this heater.
Courtney Williams,5.0 out of 5 stars,Sleek,Verified Purchase,Quiet and efficient
